,IDfg,Name,Team,G,PA,OPS,Dol,Spd,Off,WAR,wRC+,Def,BsR
17,16252,Trea Turner,- - -,148,646,0.911,$54.9,6.4,39.5,6.9,142,7.6,5.0
2,19611,Vladimir Guerrero Jr.,TOR,161,698,1.002,$53.5,3.1,54.1,6.7,166,-11.1,-2.1
0,11579,Bryce Harper,PHI,141,599,1.044,$53.0,4.3,50.7,6.6,170,-4.4,-2.5
1,20123,Juan Soto,WSN,151,654,0.999,$53.0,3.5,48.8,6.6,163,-4.3,-3.3
42,12533,Marcus Semien,TOR,162,724,0.873,$53.0,5.3,31.5,6.6,131,10.0,4.0
34,13510,Jose Ramirez,CLE,152,636,0.893,$50.4,7.0,35.4,6.3,137,5.8,6.3
8,19709,Fernando Tatis Jr.,SDP,130,546,0.975,$49.1,5.3,48.5,6.1,156,-5.3,9.3
50,14162,Carlos Correa,HOU,148,640,0.85,$46.2,2.4,26.4,5.8,134,9.6,-0.6
16,15640,Aaron Judge,NYY,148,633,0.916,$43.9,2.9,37.5,5.5,148,-4.2,-0.1
18,19326,Bryan Reynolds,PIT,159,646,0.912,$43.8,5.1,37.6,5.5,142,-4.4,3.0
30,5343,Brandon Crawford,SFG,138,549,0.895,$43.8,5.1,27.8,5.5,139,8.6,0.4
47,9241,Starling Marte,- - -,120,526,0.841,$44.0,7.8,34.7,5.5,134,2.6,12.3
21,15711,Tyler O'Neill,STL,138,537,0.912,$43.1,5.8,35.1,5.4,145,0.9,4.7
35,17929,Cedric Mullins II,BAL,159,675,0.878,$42.7,6.1,34.2,5.3,136,-3.9,4.8
41,12161,Xander Bogaerts,BOS,144,603,0.863,$41.6,3.8,23.7,5.2,130,7.7,1.2
51,18882,Brandon Lowe,TBR,149,615,0.863,$41.7,3.8,32.8,5.2,137,-1.7,4.9
60,5417,Jose Altuve,HOU,146,678,0.839,$41.3,3.7,27.2,5.2,130,1.3,2.5
11,19755,Shohei Ohtani,LAA,158,639,0.965,$41.0,6.9,43.0,5.1,152,-13.6,2.5
29,14344,Matt Olson,OAK,156,673,0.911,$40.3,2.8,37.8,5.0,146,-10.5,0.0
