IDfg,Name,Team,G,PA,AVG,OBP,SLG,OPS,wRC+,WAR,Barrel%,HardHit%,GB%,FB%,HR/FB
16252,Trea Turner,- - -,148,646,0.328,0.375,0.536,0.911,142,6.9,7.400000000000001,46.0,45.2,33.7,0.17
19611,Vladimir Guerrero Jr.,TOR,161,698,0.311,0.401,0.601,1.002,166,6.7,15.1,55.2,44.8,36.5,0.265
11579,Bryce Harper,PHI,141,599,0.309,0.429,0.615,1.044,170,6.6,18.1,49.2,40.7,37.3,0.267
20123,Juan Soto,WSN,151,654,0.313,0.465,0.534,0.999,163,6.6,13.3,52.400000000000006,52.7,28.7,0.244
12533,Marcus Semien,TOR,162,724,0.265,0.334,0.538,0.873,131,6.6,9.8,41.3,31.0,48.1,0.184
13510,Jose Ramirez,CLE,152,636,0.266,0.355,0.538,0.893,137,6.3,11.1,42.3,35.6,45.2,0.17
19709,Fernando Tatis Jr.,SDP,130,546,0.282,0.364,0.611,0.975,156,6.1,21.3,55.60000000000001,40.2,39.9,0.321
14162,Carlos Correa,HOU,148,640,0.279,0.366,0.485,0.85,134,5.8,9.4,42.5,41.6,34.8,0.168
15640,Aaron Judge,NYY,148,633,0.287,0.373,0.544,0.916,148,5.5,17.6,57.9,41.3,35.5,0.27699999999999997
19326,Bryan Reynolds,PIT,159,646,0.302,0.39,0.522,0.912,142,5.5,10.4,40.8,38.9,35.5,0.153
5343,Brandon Crawford,SFG,138,549,0.298,0.373,0.522,0.895,139,5.5,11.5,43.1,39.8,41.4,0.152
9241,Starling Marte,- - -,120,526,0.31,0.383,0.458,0.841,134,5.5,8.4,39.4,54.79999999999999,24.1,0.136
15711,Tyler O'Neill,STL,138,537,0.286,0.352,0.56,0.912,145,5.4,17.9,52.2,36.2,40.9,0.262
17929,Cedric Mullins II,BAL,159,675,0.291,0.36,0.518,0.878,136,5.3,8.1,39.1,39.0,41.1,0.155
12161,Xander Bogaerts,BOS,144,603,0.295,0.37,0.493,0.863,130,5.2,9.7,43.0,40.0,37.4,0.146
18882,Brandon Lowe,TBR,149,615,0.247,0.34,0.523,0.863,137,5.2,14.000000000000002,43.1,34.2,44.0,0.24100000000000002
5417,Jose Altuve,HOU,146,678,0.278,0.35,0.489,0.839,130,5.2,6.4,34.4,38.9,38.7,0.158
19755,Shohei Ohtani,LAA,158,639,0.257,0.372,0.592,0.965,152,5.1,22.3,53.400000000000006,38.0,40.6,0.32899999999999996
14344,Matt Olson,OAK,156,673,0.271,0.371,0.54,0.911,146,5.0,12.7,48.4,39.8,43.7,0.193
13301,Max Muncy,LAD,144,592,0.249,0.368,0.527,0.895,140,4.9,16.1,46.3,38.1,41.3,0.231
9166,Buster Posey,SFG,113,454,0.304,0.39,0.499,0.889,140,4.9,8.1,39.0,46.5,28.4,0.205
9218,Paul Goldschmidt,STL,158,679,0.294,0.365,0.514,0.879,138,4.9,13.600000000000001,50.2,36.2,40.3,0.163
19612,Bo Bichette,TOR,159,690,0.298,0.343,0.484,0.828,122,4.9,9.9,47.5,49.1,30.4,0.188
18345,Kyle Tucker,HOU,140,567,0.294,0.359,0.557,0.917,147,4.8,11.6,47.0,33.9,44.4,0.161
17350,Rafael Devers,BOS,156,664,0.279,0.352,0.538,0.89,134,4.7,15.0,51.5,41.2,38.3,0.221
19197,Will Smith,LAD,130,501,0.258,0.365,0.495,0.86,130,4.6,10.8,43.8,31.5,46.3,0.16699999999999998
5361,Freddie Freeman,ATL,159,695,0.3,0.393,0.503,0.896,135,4.5,11.5,45.7,43.0,32.5,0.193
