,IDfg,Name,Team,G,key_fangraphs,key_mlbam,key_bbref,key_retro
0,16252,Trea Turner,- - -,148,16252.0,607208.0,turnetr01,turnt001
1,19611,Vladimir Guerrero Jr.,TOR,161,,,,
2,11579,Bryce Harper,PHI,141,11579.0,547180.0,harpebr03,harpb003
3,20123,Juan Soto,WSN,151,20123.0,665742.0,sotoju01,sotoj001
4,12533,Marcus Semien,TOR,162,12533.0,543760.0,semiema01,semim001
5,13510,Jose Ramirez,CLE,152,,,,
6,19709,Fernando Tatis Jr.,SDP,130,,,,
7,14162,Carlos Correa,HOU,148,14162.0,621043.0,correca01,corrc001
8,15640,Aaron Judge,NYY,148,15640.0,592450.0,judgeaa01,judga001
9,19326,Bryan Reynolds,PIT,159,19326.0,668804.0,reynobr01,reynb001
10,5343,Brandon Crawford,SFG,138,5343.0,543063.0,crawfbr01,crawb001
11,9241,Starling Marte,- - -,120,9241.0,516782.0,martest01,marts002
12,15711,Tyler O'Neill,STL,138,15711.0,641933.0,oneilty01,oneit001
13,17929,Cedric Mullins II,BAL,159,17929.0,656775.0,mullice01,mullc002
14,12161,Xander Bogaerts,BOS,144,12161.0,593428.0,bogaexa01,bogax001
15,18882,Brandon Lowe,TBR,149,18882.0,664040.0,lowebr01,loweb001
16,5417,Jose Altuve,HOU,146,5417.0,514888.0,altuvjo01,altuj001
17,19755,Shohei Ohtani,LAA,158,,,,
18,14344,Matt Olson,OAK,156,14344.0,621566.0,olsonma02,olsom001
19,13301,Max Muncy,LAD,144,13301.0,571970.0,muncyma01,muncm001
20,9166,Buster Posey,SFG,113,,,,
21,9218,Paul Goldschmidt,STL,158,9218.0,502671.0,goldspa01,goldp001
22,19612,Bo Bichette,TOR,159,19612.0,666182.0,bichebo01,bichb001
23,18345,Kyle Tucker,HOU,140,18345.0,663656.0,tuckeky01,tuckk001
24,17350,Rafael Devers,BOS,156,17350.0,646240.0,deverra01,dever001
25,19197,Will Smith,LAD,130,19197.0,669257.0,smithwi05,smitw003
26,5361,Freddie Freeman,ATL,159,5361.0,518692.0,freemfr01,freef001
27,13265,Mike Zunino,TBR,109,,,,
28,17232,Yoan Moncada,CHW,144,,,,
29,11493,Manny Machado,SDP,153,11493.0,592518.0,machama01,machm001
